PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
watched all of,16,1.3,104.91
watched all of season,16,1.3,104.91
watched all of them,16,1.3,104.91
watched all the seasons,16,1.3,104.91
watched american horror story,16,1.3,104.91
watched an,16,1.3,104.91
watched an episode,16,1.3,104.91
watched an episode of,16,1.3,104.91
watched apollo,16,1.3,104.91
watched basketball,16,1.3,104.91
watched batman,16,1.3,104.91
watched black swan,16,1.3,104.91
watched breaking dawn,16,1.3,104.91
watched breaking dawn part,16,1.3,104.91
watched bridesmaids,16,1.3,104.91
watched cabin in,16,1.3,104.91
watched captain america,16,1.3,104.91
watched catfish,16,1.3,104.91
watched disney channel today,16,1.3,104.91
watched doctor who,16,1.3,104.91
watched dr,16,1.3,104.91
watched drive,16,1.3,104.91
watched due date,16,1.3,104.91
watched e,16,1.3,104.91
watched elf,16,1.3,104.91
watched ep,16,1.3,104.91
watched episode,16,1.3,104.91
watched every episode,16,1.3,104.91
watched every episode of,16,1.3,104.91
watched film,16,1.3,104.91
watched finding nemo,16,1.3,104.91
watched first,16,1.3,104.91
watched football,16,1.3,104.91
watched friends with benefits,16,1.3,104.91
watched glee,16,1.3,104.91
watched hall pass,16,1.3,104.91
watched hangover,16,1.3,104.91
watched harry potter,16,1.3,104.91
watched hunger games,16,1.3,104.91
watched ice age,16,1.3,104.91
watched inception,16,1.3,104.91
watched insidious,16,1.3,104.91
watched it again,16,1.3,104.91
watched it earlier,16,1.3,104.91
watched it for the first time,16,1.3,104.91
watched it last,16,1.3,104.91
watched it last night,16,1.3,104.91
watched it last week,16,1.3,104.91
watched it like,16,1.3,104.91
watched it live,16,1.3,104.91
watched it on,16,1.3,104.91
watched it on netflix,16,1.3,104.91
watched it on tv,16,1.3,104.91
watched it once,16,1.3,104.91
watched it online,16,1.3,104.91
watched it the other day,16,1.3,104.91
watched it the other night,16,1.3,104.91
watched it this morning,16,1.3,104.91
watched it today,16,1.3,104.91
watched it tonight,16,1.3,104.91
watched it too,16,1.3,104.91
watched it twice,16,1.3,104.91
watched it with,16,1.3,104.91
watched it yesterday,16,1.3,104.91
watched jackass,16,1.3,104.91
watched jersey shore,16,1.3,104.91
watched kung fu panda,16,1.3,104.91
watched l,16,1.3,104.91
watched last night,16,1.3,104.91
watched last nights episode,16,1.3,104.91
watched law,16,1.3,104.91
watched les miserables,16,1.3,104.91
watched like,16,1.3,104.91
watched limitless,16,1.3,104.91
watched mac and devin go,16,1.3,104.91
watched madagascar,16,1.3,104.91
watched magic mike,16,1.3,104.91
watched mean girls,16,1.3,104.91
watched men in black,16,1.3,104.91
watched movies,16,1.3,104.91
watched mr,16,1.3,104.91
watched one episode,16,1.3,104.91
watched one of the,16,1.3,104.91
watched online,16,1.3,104.91
watched paranormal,16,1.3,104.91
watched paranormal activity,16,1.3,104.91
watched pitch perfect,16,1.3,104.91
watched planet of,16,1.3,104.91
watched porn,16,1.3,104.91
watched pretty little liars,16,1.3,104.91
watched project x,16,1.3,104.91
watched project x for the first time,16,1.3,104.91
watched prometheus,16,1.3,104.91
watched red dawn,16,1.3,104.91
watched rise of the planet of,16,1.3,104.91
watched rugrats,16,1.3,104.91
watched savages,16,1.3,104.91
watched scream,16,1.3,104.91
watched season,16,1.3,104.91
watched some,16,1.3,104.91
watched some football,16,1.3,104.91
watched some movies,16,1.3,104.91
watched soul surfer,16,1.3,104.91
watched sportscenter,16,1.3,104.91
watched super,16,1.3,104.91
watched t,16,1.3,104.91
watched taken,16,1.3,104.91
watched ted,16,1.3,104.91
watched that,16,1.3,104.91
watched that earlier,16,1.3,104.91
watched that earlier today,16,1.3,104.91
watched that episode,16,1.3,104.91
watched that last night,16,1.3,104.91
watched that movie,16,1.3,104.91
watched that movie last night,16,1.3,104.91
watched that part,16,1.3,104.91
watched that show,16,1.3,104.91
watched that the other day,16,1.3,104.91
watched that the other night,16,1.3,104.91
watched that today,16,1.3,104.91
watched that together,16,1.3,104.91
watched that too,16,1.3,104.91
watched that video,16,1.3,104.91
watched that yesterday,16,1.3,104.91
watched the,16,1.3,104.91
watched the #kony,16,1.3,104.91
watched the avengers,16,1.3,104.91
watched the dark knight,16,1.3,104.91
watched the debate,16,1.3,104.91
watched the documentary,16,1.3,104.91
watched the end of,16,1.3,104.91
watched the entire first season of,16,1.3,104.91
watched the episode,16,1.3,104.91
watched the episode of,16,1.3,104.91
watched the fight,16,1.3,104.91
watched the film,16,1.3,104.91
watched the first,16,1.3,104.91
watched the first episode,16,1.3,104.91
watched the first episode and,16,1.3,104.91
watched the first episode of,16,1.3,104.91
watched the first one,16,1.3,104.91
watched the first season,16,1.3,104.91
watched the first two,16,1.3,104.91
watched the funniest,16,1.3,104.91
watched the game,16,1.3,104.91
watched the hangover,16,1.3,104.91
watched the help,16,1.3,104.91
watched the highlights,16,1.3,104.91
watched the highlights from the,16,1.3,104.91
watched the hobbit,16,1.3,104.91
watched the hunger games,16,1.3,104.91
watched the last,16,1.3,104.91
watched the last episode of,16,1.3,104.91
watched the lion king,16,1.3,104.91
watched the lucky one,16,1.3,104.91
watched the movie,16,1.3,104.91
watched the new episode,16,1.3,104.91
watched the news,16,1.3,104.91
watched the notebook,16,1.3,104.91
watched the olympics,16,1.3,104.91
watched the possession,16,1.3,104.91
watched the replay of the,16,1.3,104.91
watched the season,16,1.3,104.91
watched the season finale of,16,1.3,104.91
watched the series finale,16,1.3,104.91
watched the show,16,1.3,104.91
watched the trailer,16,1.3,104.91
watched the trailer for,16,1.3,104.91
watched the video,16,1.3,104.91
watched the video of,16,1.3,104.91
watched the vow,16,1.3,104.91
watched the walking dead,16,1.3,104.91
watched the whole,16,1.3,104.91
watched the whole first season,16,1.3,104.91
watched the whole first season of,16,1.3,104.91
watched the whole thing,16,1.3,104.91
watched them,16,1.3,104.91
watched this episode,16,1.3,104.91
watched this game,16,1.3,104.91
watched this movie,16,1.3,104.91
watched this show,16,1.3,104.91
watched this video,16,1.3,104.91
watched titanic,16,1.3,104.91
watched toy story,16,1.3,104.91
watched tv,16,1.3,104.91
watched twilight,16,1.3,104.91
watched two,16,1.3,104.91
watched two episodes of,16,1.3,104.91
watched two movies,16,1.3,104.91
watched video,16,1.3,104.91
watched warrior,16,1.3,104.91
watched yesterday,16,1.3,104.91
watchin @espn,16,1.3,104.91
watchin @kevinhart,16,1.3,104.91
watchin #bgc,16,1.3,104.91
watchin #familyguy,16,1.3,104.91
watchin #jackass,16,1.3,104.91
watchin #martin,16,1.3,104.91
watchin #thegame,16,1.3,104.91
watchin #thevoice,16,1.3,104.91
watchin #tosh,16,1.3,104.91
watchin #xfactor,16,1.3,104.91
watchin a movie,16,1.3,104.91
watchin a movie wit my,16,1.3,104.91
watchin a scary movie,16,1.3,104.91
watchin adult swim,16,1.3,104.91
watchin adventure time,16,1.3,104.91
watchin aladdin,16,1.3,104.91
watchin ali,16,1.3,104.91
watchin all about the benjamins,16,1.3,104.91
watchin all that,16,1.3,104.91
watchin american dad,16,1.3,104.91
watchin american gangster,16,1.3,104.91
watchin american idol,16,1.3,104.91
watchin animal planet,16,1.3,104.91
watchin atl,16,1.3,104.91
watchin avatar,16,1.3,104.91
watchin awkward,16,1.3,104.91
watchin b,16,1.3,104.91
watchin baby boy,16,1.3,104.91
watchin bad boys,16,1.3,104.91
watchin bad girls club,16,1.3,104.91
watchin bad teacher,16,1.3,104.91
watchin bait car,16,1.3,104.91
watchin barbershop,16,1.3,104.91
watchin basketball,16,1.3,104.91
watchin basketball wives,16,1.3,104.91
watchin beauty,16,1.3,104.91
watchin behind the music,16,1.3,104.91
watchin belly,16,1.3,104.91
watchin bernie mac,16,1.3,104.91
watchin bet,16,1.3,104.91
watchin beyond scared straight,16,1.3,104.91
watchin bgc,16,1.3,104.91
watchin boondocks,16,1.3,104.91
watchin booty call,16,1.3,104.91
watchin boyz in the hood,16,1.3,104.91
watchin boyz n,16,1.3,104.91
watchin cars,16,1.3,104.91
watchin cartoons,16,1.3,104.91
watchin catfish,16,1.3,104.91
watchin cheaters,16,1.3,104.91
watchin college football,16,1.3,104.91
watchin columbiana,16,1.3,104.91
watchin cop out,16,1.3,104.91
watchin cops,16,1.3,104.91
watchin criminal minds,16,1.3,104.91
watchin csi,16,1.3,104.91
watchin da,16,1.3,104.91
watchin da game,16,1.3,104.91
watchin da news,16,1.3,104.91
watchin degrassi,16,1.3,104.91
watchin dis game,16,1.3,104.91
watchin dis movie,16,1.3,104.91
watchin disney,16,1.3,104.91
watchin disney channel,16,1.3,104.91
watchin dora,16,1.3,104.91
watchin doug,16,1.3,104.91
watchin dr,16,1.3,104.91
watchin dragon ball z,16,1.3,104.91
watchin drake and josh,16,1.3,104.91
watchin drumline,16,1.3,104.91
watchin duck dynasty,16,1.3,104.91
watchin due date,16,1.3,104.91
watchin e,16,1.3,104.91
watchin easy a,16,1.3,104.91
watchin elf,16,1.3,104.91
watchin espn,16,1.3,104.91
watchin everybody hates chris,16,1.3,104.91
watchin family feud,16,1.3,104.91
watchin family guy,16,1.3,104.91
watchin family matters,16,1.3,104.91
watchin fast,16,1.3,104.91
watchin fast five,16,1.3,104.91
watchin fat albert,16,1.3,104.91
watchin final destination,16,1.3,104.91
watchin finding nemo,16,1.3,104.91
watchin first,16,1.3,104.91
watchin first sunday,16,1.3,104.91
watchin football,16,1.3,104.91
watchin forest gump,16,1.3,104.91
watchin forrest gump,16,1.3,104.91
watchin fresh prince,16,1.3,104.91
watchin friday,16,1.3,104.91
watchin friday after next,16,1.3,104.91
watchin friday the,16,1.3,104.91
watchin friends,16,1.3,104.91
watchin friends with benefits,16,1.3,104.91
watchin full house,16,1.3,104.91
watchin gangland,16,1.3,104.91
watchin george lopez,16,1.3,104.91
watchin glee,16,1.3,104.91
watchin half baked,16,1.3,104.91
watchin hall pass,16,1.3,104.91
watchin halloween,16,1.3,104.91
watchin hangover,16,1.3,104.91
watchin hardcore pawn,16,1.3,104.91
watchin harold,16,1.3,104.91
watchin harry potter,16,1.3,104.91
watchin hey arnold,16,1.3,104.91
watchin hoarders,16,1.3,104.91
watchin honey,16,1.3,104.91
watchin house,16,1.3,104.91
watchin house of payne,16,1.3,104.91
watchin house party,16,1.3,104.91
watchin hustle,16,1.3,104.91
watchin ice age,16,1.3,104.91
watchin insidious,16,1.3,104.91
watchin it now,16,1.3,104.91
watchin it right now,16,1.3,104.91
watchin it too,16,1.3,104.91
watchin jackass,16,1.3,104.91
watchin jamie foxx show,16,1.3,104.91
watchin jeepers creepers,16,1.3,104.91
watchin jerry springer,16,1.3,104.91
watchin jersey shore,16,1.3,104.91
watchin juice,16,1.3,104.91
watchin karate kid,16,1.3,104.91
watchin kenan,16,1.3,104.91
watchin kevin hart,16,1.3,104.91
watchin king of the hill,16,1.3,104.91
watchin law,16,1.3,104.91
watchin law and order,16,1.3,104.91
watchin law n order,16,1.3,104.91
watchin life,16,1.3,104.91
watchin lifetime,16,1.3,104.91
watchin lion king,16,1.3,104.91
watchin lmn,16,1.3,104.91
watchin loiter squad,16,1.3,104.91
watchin looney tunes,16,1.3,104.91
watchin lottery ticket,16,1.3,104.91
watchin love,16,1.3,104.91
watchin love and basketball,16,1.3,104.91
watchin love and hip hop,16,1.3,104.91
watchin madea,16,1.3,104.91
watchin madea goes,16,1.3,104.91
watchin madeas big,16,1.3,104.91
watchin major payne,16,1.3,104.91
watchin malcolm x,16,1.3,104.91
watchin martin,16,1.3,104.91
watchin matilda,16,1.3,104.91
watchin maury,16,1.3,104.91
watchin mean girls,16,1.3,104.91
watchin meet the browns,16,1.3,104.91
watchin men in black,16,1.3,104.91
watchin menace,16,1.3,104.91
watchin mob wives,16,1.3,104.91
watchin moesha,16,1.3,104.91
watchin mortal kombat,16,1.3,104.91
watchin movies,16,1.3,104.91
watchin movies all day,16,1.3,104.91
watchin movies wit,16,1.3,104.91
watchin mr,16,1.3,104.91
watchin mtv,16,1.3,104.91
watchin mtv jams,16,1.3,104.91
watchin my favorite movie,16,1.3,104.91
watchin my show,16,1.3,104.91
watchin my wife,16,1.3,104.91
watchin my wife and kids,16,1.3,104.91
watchin ncis,16,1.3,104.91
watchin netflix,16,1.3,104.91
watchin next friday,16,1.3,104.91
watchin notorious,16,1.3,104.91
watchin obsessed,16,1.3,104.91
watchin paid in full,16,1.3,104.91
watchin paranormal activity,16,1.3,104.91
watchin phineas,16,1.3,104.91
watchin phineas and ferb,16,1.3,104.91
watchin planet of,16,1.3,104.91
watchin players club,16,1.3,104.91
watchin poetic justice,16,1.3,104.91
watchin porn,16,1.3,104.91
watchin precious,16,1.3,104.91
watchin pretty little liars,16,1.3,104.91
watchin project x,16,1.3,104.91
watchin pulp fiction,16,1.3,104.91
watchin ray,16,1.3,104.91
watchin ridiculousness,16,1.3,104.91
watchin rio,16,1.3,104.91
watchin robot chicken,16,1.3,104.91
watchin roll bounce,16,1.3,104.91
watchin roots,16,1.3,104.91
watchin rugrats,16,1.3,104.91
watchin rush hour,16,1.3,104.91
watchin saved by the bell,16,1.3,104.91
watchin saw,16,1.3,104.91
watchin scarface,16,1.3,104.91
watchin scary movie,16,1.3,104.91
watchin scary movies,16,1.3,104.91
watchin scooby doo,16,1.3,104.91
watchin scream,16,1.3,104.91
watchin season,16,1.3,104.91
watchin selena,16,1.3,104.91
watchin set it off,16,1.3,104.91
watchin shottas,16,1.3,104.91
watchin shrek,16,1.3,104.91
watchin single ladies,16,1.3,104.91
watchin sister sister,16,1.3,104.91
watchin soccer,16,1.3,104.91
watchin some,16,1.3,104.91
watchin some movie,16,1.3,104.91
watchin soul food,16,1.3,104.91
watchin soul plane,16,1.3,104.91
watchin south park,16,1.3,104.91
watchin space jam,16,1.3,104.91
watchin sparkle,16,1.3,104.91
watchin spiderman,16,1.3,104.91
watchin spongebob,16,1.3,104.91
watchin sports center,16,1.3,104.91
watchin sportscenter,16,1.3,104.91
watchin step brothers,16,1.3,104.91
watchin step up,16,1.3,104.91
watchin steve wilkos,16,1.3,104.91
watchin stomp the yard,16,1.3,104.91
watchin svu,16,1.3,104.91
watchin swamp people,16,1.3,104.91
watchin t,16,1.3,104.91
watchin taken,16,1.3,104.91
watchin takers,16,1.3,104.91
watchin ted,16,1.3,104.91
watchin teen mom,16,1.3,104.91
watchin tha,16,1.3,104.91
watchin tha game,16,1.3,104.91
watchin the,16,1.3,104.91
watchin the awards,16,1.3,104.91
watchin the bet awards,16,1.3,104.91
watchin the boondocks,16,1.3,104.91
watchin the change up,16,1.3,104.91
watchin the crazies,16,1.3,104.91
watchin the debate,16,1.3,104.91
watchin the draft,16,1.3,104.91
watchin the fight,16,1.3,104.91
watchin the first,16,1.3,104.91
watchin the game,16,1.3,104.91
watchin the grammys,16,1.3,104.91
watchin the grinch,16,1.3,104.91
watchin the hangover,16,1.3,104.91
watchin the help,16,1.3,104.91
watchin the jamie foxx show,16,1.3,104.91
watchin the lion king,16,1.3,104.91
watchin the movie,16,1.3,104.91
watchin the news,16,1.3,104.91
watchin the notebook,16,1.3,104.91
watchin the office,16,1.3,104.91
watchin the olympics,16,1.3,104.91
watchin the parkers,16,1.3,104.91
watchin the simpsons,16,1.3,104.91
watchin the voice,16,1.3,104.91
watchin the vow,16,1.3,104.91
watchin the walking dead,16,1.3,104.91
watchin the wayans bros,16,1.3,104.91
watchin the wayans brothers,16,1.3,104.91
watchin the wood,16,1.3,104.91
watchin this christmas,16,1.3,104.91
watchin this game,16,1.3,104.91
watchin this movie,16,1.3,104.91
watchin this scary movie,16,1.3,104.91
watchin this shit,16,1.3,104.91
watchin this show,16,1.3,104.91
watchin tia,16,1.3,104.91
watchin titanic,16,1.3,104.91
watchin tom,16,1.3,104.91
watchin tom and jerry,16,1.3,104.91
watchin tosh,16,1.3,104.91
watchin toy story,16,1.3,104.91
watchin transformers,16,1.3,104.91
watchin true life,16,1.3,104.91
watchin tv,16,1.3,104.91
watchin tv bored,16,1.3,104.91
watchin tv bored af,16,1.3,104.91
watchin tv w,16,1.3,104.91
watchin tv wit,16,1.3,104.91
watchin tv wit my,16,1.3,104.91
watchin tv with,16,1.3,104.91
watchin twilight,16,1.3,104.91
watchin ufc,16,1.3,104.91
watchin vh,16,1.3,104.91
watchin victorious,16,1.3,104.91
watchin videos,16,1.3,104.91
watchin weeds,16,1.3,104.91
watchin white chicks,16,1.3,104.91
watchin wrestling,16,1.3,104.91
watchin x factor,16,1.3,104.91
watchin' it,16,1.3,104.91
watchin' the,16,1.3,104.91
watchin' tv,16,1.3,104.91
watching,16,1.3,104.91
watching #thevoice,16,1.3,104.91
watching a baby story,16,1.3,104.91
watching a baseball game,16,1.3,104.91
watching a basketball game,16,1.3,104.91
watching a black and white movie,16,1.3,104.91
watching a bronx tale,16,1.3,104.91
watching a bugs life,16,1.3,104.91
watching a charlie brown christmas,16,1.3,104.91
watching a charlie brown christmas with,16,1.3,104.91
watching a charlie brown thanksgiving,16,1.3,104.91
watching a chick flick,16,1.3,104.91
watching a christmas,16,1.3,104.91
watching a christmas carol,16,1.3,104.91
watching a christmas story,16,1.3,104.91
watching a christmas story with,16,1.3,104.91
watching a cinderella story,16,1.3,104.91
watching a classic,16,1.3,104.91
watching a different world,16,1.3,104.91
watching a documentary,16,1.3,104.91
watching a documentary about,16,1.3,104.91
watching a documentary on,16,1.3,104.91
watching a dvd,16,1.3,104.91
watching a flick,16,1.3,104.91
watching a football game,16,1.3,104.91
watching a game,16,1.3,104.91
watching a haunting,16,1.3,104.91
watching a horror movie,16,1.3,104.91
watching a lifetime movie,16,1.3,104.91
watching a little tv,16,1.3,104.91
watching a marathon of,16,1.3,104.91
watching a movie,16,1.3,104.91
watching a movie with,16,1.3,104.91
watching a movie with my,16,1.3,104.91
watching a moviee,16,1.3,104.91
watching a movieee,16,1.3,104.91
watching a nightmare on elm street,16,1.3,104.91
watching a play,16,1.3,104.91
watching a replay of,16,1.3,104.91
watching a replay of the,16,1.3,104.91
watching a rerun of,16,1.3,104.91
watching a sad movie,16,1.3,104.91
watching a scary,16,1.3,104.91
watching a scary movie,16,1.3,104.91
watching a show,16,1.3,104.91
watching a show about,16,1.3,104.91
watching a show and,16,1.3,104.91
watching a show called,16,1.3,104.91
watching a show on,16,1.3,104.91
watching a show on the,16,1.3,104.91
watching a soccer game,16,1.3,104.91
watching a special on,16,1.3,104.91
watching a thousand words,16,1.3,104.91
watching a tv,16,1.3,104.91
watching a tv show,16,1.3,104.91
watching a video,16,1.3,104.91
watching a video about,16,1.3,104.91
watching a video about the,16,1.3,104.91
watching a video in,16,1.3,104.91
watching a video in class,16,1.3,104.91
watching a video of,16,1.3,104.91
watching a video on,16,1.3,104.91
watching a walk to remember,16,1.3,104.91
watching a youtube video,16,1.3,104.91
watching aladdin,16,1.3,104.91
watching all about the benjamin's,16,1.3,104.91
watching all about the benjamins,16,1.3,104.91
watching all dogs go,16,1.3,104.91
watching all grown up,16,1.3,104.91
watching all that,16,1.3,104.91
watching all the games,16,1.3,104.91
watching all the seasons of,16,1.3,104.91
watching all the twilight movies,16,1.3,104.91
watching all these scary movies,16,1.3,104.91
watching all things fall apart,16,1.3,104.91
watching american,16,1.3,104.91
watching american dad,16,1.3,104.91
watching american gangster,16,1.3,104.91
watching american history x,16,1.3,104.91
watching american horror,16,1.3,104.91
watching american horror story,16,1.3,104.91
watching american idol,16,1.3,104.91
watching american ninja warrior,16,1.3,104.91
watching american pickers,16,1.3,104.91
watching american pie,16,1.3,104.91
watching american reunion,16,1.3,104.91
watching american wedding,16,1.3,104.91
watching an episode,16,1.3,104.91
watching an episode of,16,1.3,104.91
watching an infomercial for,16,1.3,104.91
watching an nba game,16,1.3,104.91
watching an old episode,16,1.3,104.91
watching an old movie,16,1.3,104.91
watching atl,16,1.3,104.91
watching avatar,16,1.3,104.91
watching awkward,16,1.3,104.91
watching awkward all day,16,1.3,104.91
watching baby boy,16,1.3,104.91
watching baby mama,16,1.3,104.91
watching bad,16,1.3,104.91
watching bad boys,16,1.3,104.91
watching bad boys ii,16,1.3,104.91
watching bad boyz,16,1.3,104.91
watching bad girls,16,1.3,104.91
watching bad girls club,16,1.3,104.91
watching bad santa,16,1.3,104.91
watching bad teacher,16,1.3,104.91
watching bad teacher with,16,1.3,104.91
watching baseball,16,1.3,104.91
watching basketball,16,1.3,104.91
watching basketball all day,16,1.3,104.91
watching basketball games,16,1.3,104.91
watching basketball with,16,1.3,104.91
watching basketball wives,16,1.3,104.91
watching basketball wives la,16,1.3,104.91
watching batman,16,1.3,104.91
watching batman begins,16,1.3,104.91
watching batman forever,16,1.3,104.91
watching batman returns,16,1.3,104.91
watching bet awards,16,1.3,104.91
watching bgc,16,1.3,104.91
watching bgc reunion,16,1.3,104.91
watching big,16,1.3,104.91
watching big ang,16,1.3,104.91
watching big bang,16,1.3,104.91
watching big bang theory,16,1.3,104.91
watching big brother,16,1.3,104.91
watching big daddy,16,1.3,104.91
watching big daddy with,16,1.3,104.91
watching big daddy with my,16,1.3,104.91
watching big fish,16,1.3,104.91
watching big mama's house,16,1.3,104.91
watching big momma,16,1.3,104.91
watching big momma's house,16,1.3,104.91
watching big mommas house,16,1.3,104.91
watching big rich texas,16,1.3,104.91
watching big time rush,16,1.3,104.91
watching black,16,1.3,104.91
watching black dynamite,16,1.3,104.91
watching black girls rock,16,1.3,104.91
watching black hawk down,16,1.3,104.91
watching black swan,16,1.3,104.91
watching breaking,16,1.3,104.91
watching breaking amish,16,1.3,104.91
watching breaking bad,16,1.3,104.91
watching breaking dawn again,16,1.3,104.91
watching breaking dawn part,16,1.3,104.91
watching breaking dawn pt,16,1.3,104.91
watching breaking down,16,1.3,104.91
watching bridesmaids,16,1.3,104.91
watching bridesmaids for the,16,1.3,104.91
watching bridesmaids with,16,1.3,104.91
watching cars,16,1.3,104.91
watching cartoons,16,1.3,104.91
watching cartoons in the morning,16,1.3,104.91
watching cartoons lol,16,1.3,104.91
watching cartoons w,16,1.3,104.91
watching cartoons with,16,1.3,104.91
watching cartoons with my,16,1.3,104.91
watching catfish,16,1.3,104.91
watching catfish for the first time,16,1.3,104.91
watching christmas,16,1.3,104.91
watching christmas movies,16,1.3,104.91
watching christmas shows,16,1.3,104.91
watching christmas vacation,16,1.3,104.91
watching christmas with the kranks,16,1.3,104.91
watching cnn,16,1.3,104.91
watching cnn right now,16,1.3,104.91
watching college,16,1.3,104.91
watching college ball,16,1.3,104.91
watching college basketball,16,1.3,104.91
watching college football,16,1.3,104.91
watching college football all day,16,1.3,104.91
watching college football with,16,1.3,104.91
watching college hill,16,1.3,104.91
watching college hoops,16,1.3,104.91
watching cops,16,1.3,104.91
watching cops lol,16,1.3,104.91
watching criminal minds,16,1.3,104.91
watching csi,16,1.3,104.91
watching csi miami,16,1.3,104.91
watching da bears,16,1.3,104.91
watching da game,16,1.3,104.91
watching da news,16,1.3,104.91
watching disney,16,1.3,104.91
watching disney channel,16,1.3,104.91
watching disney movies,16,1.3,104.91
watching dora,16,1.3,104.91
watching dr,16,1.3,104.91
watching dr phil,16,1.3,104.91
watching elf,16,1.3,104.91
watching elf again,16,1.3,104.91
watching elf for the,16,1.3,104.91
watching elf with,16,1.3,104.91
watching espn,16,1.3,104.91
watching espn first take,16,1.3,104.91
watching family,16,1.3,104.91
watching family feud,16,1.3,104.91
watching family feud with,16,1.3,104.91
watching family fued,16,1.3,104.91
watching family guy,16,1.3,104.91
watching family hustle,16,1.3,104.91
watching family matters,16,1.3,104.91
watching fast,16,1.3,104.91
watching fast and furious,16,1.3,104.91
watching fast five,16,1.3,104.91
watching finding bigfoot,16,1.3,104.91
watching finding nemo,16,1.3,104.91
watching finding nemo with,16,1.3,104.91
watching finding nemo with my,16,1.3,104.91
watching fireworks,16,1.3,104.91
watching fireworks on the beach,16,1.3,104.91
watching fireworks with,16,1.3,104.91
watching first,16,1.3,104.91
watching first sunday,16,1.3,104.91
watching first take,16,1.3,104.91
watching football,16,1.3,104.91
watching football all,16,1.3,104.91
watching football all day,16,1.3,104.91
watching football alone,16,1.3,104.91
watching football and,16,1.3,104.91
watching football and drinking beer,16,1.3,104.91
watching football and eating,16,1.3,104.91
watching football and eating,14,1.5,121.05
watching football in,16,1.3,104.91
watching football now,16,1.3,104.91
watching football on,16,1.3,104.91
watching football today,16,1.3,104.91
watching football tonight,16,1.3,104.91
watching football w,16,1.3,104.91
watching football with,16,1.3,104.91
watching football with my,16,1.3,104.91
watching football with my dad,16,1.3,104.91
watching football with the,16,1.3,104.91
watching football with the fam,16,1.3,104.91
watching football with the family,16,1.3,104.91
watching friday,16,1.3,104.91
watching friday after,16,1.3,104.91
watching friday after next,16,1.3,104.91
watching friday lol,16,1.3,104.91
watching friday night lights,16,1.3,104.91
watching friday w,16,1.3,104.91
watching friends,16,1.3,104.91
watching friends w,16,1.3,104.91
watching friends with,16,1.3,104.91
watching friends with benefits,16,1.3,104.91
watching full house,16,1.3,104.91
watching full metal jacket,16,1.3,104.91
watching game,16,1.3,104.91
watching game of thrones,16,1.3,104.91
watching ghost,16,1.3,104.91
watching ghost adventures,16,1.3,104.91
watching ghost hunters,16,1.3,104.91
watching ghost rider,16,1.3,104.91
watching ghost stories,16,1.3,104.91
watching ghost whisperer,16,1.3,104.91
watching glee,16,1.3,104.91
watching glee for the first,16,1.3,104.91
watching glee with,16,1.3,104.91
watching halloween,16,1.3,104.91
watching halloween h,16,1.3,104.91
watching halloween movies,16,1.3,104.91
watching halloween town,16,1.3,104.91
watching hangover,16,1.3,104.91
watching hangover part,16,1.3,104.91
watching hangover pt,16,1.3,104.91
watching harry,16,1.3,104.91
watching harry potter,16,1.3,104.91
watching harry potter and,16,1.3,104.91
watching harry potter with,16,1.3,104.91
watching harry potter with my,16,1.3,104.91
watching hey arnold,16,1.3,104.91
watching hockey,16,1.3,104.91
watching honey,16,1.3,104.91
watching honey boo boo,16,1.3,104.91
watching honey boo boo for the,16,1.3,104.91
watching house,16,1.3,104.91
watching house bunny,16,1.3,104.91
watching house hunters,16,1.3,104.91
watching house hunters international,16,1.3,104.91
watching house of,16,1.3,104.91
watching house of payne,16,1.3,104.91
watching house of wax,16,1.3,104.91
watching house party,16,1.3,104.91
watching icarly,16,1.3,104.91
watching insidious,16,1.3,104.91
watching insidious with,16,1.3,104.91
watching it by myself,16,1.3,104.91
watching it earlier,16,1.3,104.91
watching it for,16,1.3,104.91
watching it for the,16,1.3,104.91
watching it for the first time,16,1.3,104.91
watching it later,16,1.3,104.91
watching it live,16,1.3,104.91
watching it on,16,1.3,104.91
watching it on demand,16,1.3,104.91
watching it on dvd,16,1.3,104.91
watching it on netflix,16,1.3,104.91
watching it on tv,16,1.3,104.91
watching it online,16,1.3,104.91
watching it over and over again with my,16,1.3,104.91
watching it right now,16,1.3,104.91
watching it tomorrow,16,1.3,104.91
watching it too,16,1.3,104.91
watching it with me,16,1.3,104.91
watching it with my,16,1.3,104.91
watching it with my dad,16,1.3,104.91
watching jackass,16,1.3,104.91
watching jerry,16,1.3,104.91
watching jerry maguire,16,1.3,104.91
watching jerry springer,16,1.3,104.91
watching jersey,16,1.3,104.91
watching jersey girl,16,1.3,104.91
watching jersey shore,16,1.3,104.91
watching kevin hart,16,1.3,104.91
watching kevin hart,16,1.3,104.91
watching kevin hart with,16,1.3,104.91
watching law,16,1.3,104.91
watching law abiding citizen,16,1.3,104.91
watching law and order,16,1.3,104.91
watching law n order,16,1.3,104.91
watching lifetime,16,1.3,104.91
watching lifetime movie network,16,1.3,104.91
watching lifetime movies,16,1.3,104.91
watching lion king,16,1.3,104.91
watching lion king with,16,1.3,104.91
watching lion king with my,16,1.3,104.91
watching little,16,1.3,104.91
watching little bear,16,1.3,104.91
watching little bear with,16,1.3,104.91
watching little bill,16,1.3,104.91
watching little fockers,16,1.3,104.91
watching little house on,16,1.3,104.91
