activity,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"showered",17,10,5,87,7,11,4,1,33,29,1,26,23,12,6,9,17,2,17,30,39,3,10,18,0,6,10,3,37,5,38,18,3,46,9,6,42,3,10,1,13,78,4,0,28,11,4,15,0
"showered and",0,0,0,6,1,0,0,0,1,1,0,0,2,0,1,1,1,0,1,2,5,0,0,1,0,0,0,0,2,0,5,0,0,2,0,0,2,1,0,0,0,2,1,0,0,1,2,0,0
"showered and dressed",1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
"showered and dressed",1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
"showered and got dressed",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showered and got dressed",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showered and got ready",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"showered and now",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showered and ready",0,1,1,10,0,0,1,0,5,1,0,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,7,0,0,0,1,0,0,0
"showered before",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"showered in",0,0,0,4,0,1,0,0,4,1,0,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"showered now",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showered today",0,0,0,5,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"showered today",0,0,0,5,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"showered up",0,1,2,3,0,1,1,0,2,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,5,0,0,1,1,0,1,0
"showered with",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"showerflo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"showerflow",19,2,4,2,0,0,2,5,3,15,0,21,2,0,2,2,18,0,13,0,11,2,17,4,0,1,0,0,1,0,0,8,0,12,0,0,9,0,11,0,1,18,0,0,7,0,0,4,0
"showerflow bbl",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"showerfloww",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showerin",0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showering",5,11,2,63,3,10,2,1,21,15,0,27,7,7,6,5,7,1,18,34,32,3,1,5,1,4,2,3,12,1,38,8,3,29,3,5,24,7,10,1,8,41,5,2,17,6,6,9,0
"showering and",0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"showering and getting ready",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
"showering at",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"showering at night",0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"showering in",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"showering in the dark",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"showering in the morning",0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"showering lol",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"showering now",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"showering then",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"showering today",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"showering up",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"showering with",0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"showerr",3,4,4,13,0,2,0,1,7,9,0,4,4,0,0,2,6,1,12,4,9,1,3,2,0,0,1,0,4,0,6,4,0,16,1,0,10,7,5,0,4,10,0,2,14,2,1,2,0
"showerr floww",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"showerr time",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showerrr",2,0,0,9,0,3,2,0,3,0,0,6,1,0,0,4,2,0,6,4,7,0,2,1,0,0,1,0,9,0,7,12,0,5,0,0,7,3,3,0,0,6,0,0,7,2,1,3,0
"showerrr time",0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"showerrrr",1,0,0,1,0,3,0,0,8,4,0,1,1,0,1,0,2,0,3,5,5,0,0,1,0,0,0,0,9,0,7,1,0,5,0,0,2,2,2,1,1,7,0,1,5,0,1,1,0
"showerrrr time",0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"showerrrrr",2,0,2,3,0,1,0,0,4,2,0,3,1,0,0,0,0,0,3,2,3,0,1,0,0,0,1,0,0,0,1,5,0,1,0,0,3,1,2,0,0,6,0,0,1,0,1,0,0
"showerrrrr time",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"showerrrrrr",0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"showerrrrrrr",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0
"showerrrrrrrr",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showers after a long day",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"showertime",3,2,1,14,2,7,2,2,4,11,0,5,3,0,0,1,2,0,9,4,4,0,2,2,0,1,2,0,5,0,4,8,0,7,2,2,8,1,1,0,1,12,0,0,4,2,0,2,0
"showertime bbl",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"showery later",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
"shuld i eat",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"silent reading",0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"since i ate",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sing and dance",2,0,4,14,0,3,0,1,5,2,0,4,4,2,0,1,1,0,3,2,3,2,4,2,0,0,2,0,1,1,11,7,0,10,3,0,2,0,1,0,2,6,1,0,5,1,1,2,0
"sing and play guitar",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"singing and dancing",4,0,3,16,2,2,1,1,2,5,0,7,6,0,1,1,4,1,2,5,10,1,0,2,0,0,1,0,7,1,12,4,0,11,0,2,7,1,2,0,0,6,1,1,1,3,1,0,0
"singing and dancing to",2,0,0,2,0,1,0,0,2,2,0,3,1,0,0,1,0,0,1,0,3,0,0,3,0,1,0,0,3,0,2,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,1,0
"singing and playing guitar",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"singing in church",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"singing on the phone",0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"sister shopping",0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sit and eat",0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"sit and watch it",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sit at home and watch movies",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sit on the couch and watch tv",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sit on the phone",0,0,1,1,0,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
"sit on the toilet",1,0,0,10,0,3,0,0,5,3,0,3,2,0,1,4,1,0,3,0,3,0,1,1,0,0,0,0,1,1,1,1,0,4,1,1,2,0,3,0,0,9,0,0,2,1,0,0,0
"sit on the toilet and",0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,1,0
"sit on the toilet for",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"sit up here",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"sit ups",14,7,7,77,4,5,2,6,25,32,0,13,11,2,1,3,18,1,20,11,26,3,17,6,0,3,4,0,17,1,10,20,2,27,4,2,22,0,18,0,8,54,1,0,19,5,1,4,0
"sit ups done",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sitin on the toilet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin",13,3,5,26,1,1,1,3,34,28,1,10,12,3,5,8,22,0,20,3,21,3,16,7,0,3,4,0,18,0,22,33,0,28,3,0,18,0,20,1,16,47,2,1,19,7,2,1,0
"sittin around",1,0,1,1,0,1,0,0,2,3,0,3,2,0,2,1,2,0,0,0,2,0,2,0,2,0,0,0,1,0,3,2,0,2,0,1,0,0,4,0,1,6,1,0,0,1,0,2,0
"sittin around miserable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"sittin at",1,0,1,0,1,0,0,0,1,2,0,3,1,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,2,0,0,1,0,0,0,0
"sittin at home",1,0,1,2,0,0,0,0,0,2,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,1,2,0,0,0,1,0,1,0
"sittin at the",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"sittin at the airport",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sittin at the bar",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sittin at the house",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"sittin at the top",0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sittin at work",0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"sittin back laughin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sittin by a fire",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin by the fire",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sittin down",3,1,3,5,0,2,2,0,2,1,0,3,0,1,0,1,5,0,1,0,2,0,3,0,0,0,0,0,0,0,2,3,0,2,0,1,3,0,3,0,2,5,0,0,0,0,1,1,0
"sittin hea",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin here",31,6,13,42,3,5,6,9,32,61,0,28,21,10,14,19,28,0,34,8,37,11,33,17,1,3,5,0,18,3,22,32,2,49,9,3,41,1,18,0,27,50,1,0,35,5,4,4,0
"sittin here bored",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"sittin here bored af",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sittin here chillin",0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sittin here cryin",1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin here like",2,1,1,4,1,0,1,0,1,4,0,3,0,0,1,1,1,0,1,1,3,0,1,2,0,0,0,0,2,0,0,1,0,2,1,0,0,1,1,0,0,3,0,0,3,0,0,0,0
"sittin here listenin to",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"sittin here listening to",1,0,0,1,0,0,1,0,0,2,0,3,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0
"sittin here lookin",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"sittin here lookin at",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"sittin here talkin",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sittin here talkin to",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"sittin here talkin to my",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"sittin here thinkin",1,0,2,2,0,1,0,0,1,7,0,2,4,1,1,1,3,0,3,0,4,1,2,1,1,0,1,0,0,0,1,2,0,6,0,0,3,0,0,1,2,3,0,0,0,0,0,1,0
"sittin here thinkin about",0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0
"sittin here thinkin bout",0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,1,0
"sittin here thinking",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0
"sittin here tryna figure",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sittin here w",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"sittin here waitin",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"sittin here waitin for",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"sittin here waitin on",0,0,0,0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"sittin here waiting",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"sittin here waiting on",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sittin here watchin the",0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"sittin here watchin tv",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"sittin here watching",3,0,0,2,0,1,0,0,1,6,0,2,3,0,0,1,2,0,2,1,3,1,1,1,0,0,1,0,2,0,4,3,0,7,0,0,5,0,2,0,1,3,0,0,1,0,1,2,0
"sittin here watching tv",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin here wit",1,0,0,0,0,0,1,1,0,4,0,5,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,8,0,0,4,0,1,0,3,0,0,0,0,0,1,0,0
"sittin here wit my",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"sittin here with",2,0,0,4,0,0,0,0,2,4,0,2,2,0,0,2,0,0,3,0,3,0,0,0,0,1,0,0,1,0,0,1,0,2,3,0,4,0,1,0,3,2,0,0,1,0,0,1,0
"sittin here with my",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"sittin in",13,0,3,15,2,4,3,0,18,13,0,16,8,4,5,6,12,0,10,14,5,8,7,4,0,0,1,1,9,0,13,14,0,15,4,0,18,0,11,0,11,15,0,0,7,2,3,5,0
"sittin in class",0,0,0,1,0,0,0,0,1,3,0,2,1,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0
"sittin in front",1,1,3,2,0,1,0,1,0,2,0,1,1,1,1,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0,1,0,1,1,0,0,2,0,0,2,0
"sittin in my",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"sittin in my car",1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"sittin in my room",0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sittin in the",0,0,1,4,0,0,0,1,2,9,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
