activity,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"still gotta shower",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"still gotta write a",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"still laying around",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"still laying down",4,4,3,11,0,3,0,0,7,6,0,4,1,0,0,1,12,0,8,4,6,0,5,0,0,0,2,0,7,0,1,5,0,6,1,1,7,2,2,0,3,18,0,0,4,0,0,1,0
"still laying dwn",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"still laying here",1,0,0,4,0,0,0,1,1,3,0,0,0,0,0,1,1,0,6,0,3,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1,2,0,1,0,2,6,0,0,1,0,1,1,0
"still laying in",3,0,3,1,0,0,0,0,2,8,0,1,0,0,1,1,4,0,2,0,0,0,1,2,0,0,0,0,2,0,1,2,0,1,0,0,3,0,1,0,0,6,0,0,1,0,0,0,0
"still laying in bed",7,2,5,22,1,2,1,1,12,13,0,12,2,7,3,3,5,0,7,4,7,4,3,6,0,0,1,3,8,1,13,11,1,13,4,1,11,2,8,0,3,27,0,0,10,2,1,3,0
"still laying in my bed",1,1,0,3,0,0,1,1,2,6,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,1,0,1,0,0,2,0,0,2,0,0,1,0
"still need to clean",0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"still need to do laundry",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"still need to eat",0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"still need to go christmas shopping",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"still need to pack",0,0,0,3,0,0,0,0,1,2,0,1,1,0,0,0,0,0,3,1,0,0,0,3,0,0,2,0,1,0,0,1,0,2,0,1,2,0,0,1,0,1,1,0,1,1,0,0,0
